== Pitch test report ==

Test performed on:
17:10:02 - 16/09/2015 

Freq-1	Freq-2	Result
----------------------
800.00	810.00	1
800.00	810.00	1
800.00	805.00	1
800.00	805.00	1
800.00	802.50	1
800.00	802.50	1
800.00	801.25	1
800.00	801.25	1
800.00	800.62	1
800.00	800.62	0
800.00	801.25	1
800.00	801.25	1
800.00	800.62	1
800.00	800.62	1
800.00	800.31	0
800.00	800.62	0
800.00	801.25	1
800.00	801.25	0
800.00	802.50	1
800.00	802.50	1
800.00	801.25	1
800.00	801.25	0
800.00	802.50	1
800.00	802.50	1
800.00	801.25	0
800.00	802.50	1
800.00	802.50	1

Final result 1.523 [Hz]
